기준_날짜,호선_명칭,승차_승객_수,하차_승객_수,승객_수
2024-08-21,3호선,527162,520400,1047562
2024-08-21,4호선,515752,527409,1043161
2024-08-21,6호선,336194,331413,667607
2024-08-21,경부선,160216,159023,319239
2024-08-21,2호선,1417030,1446635,2863665
2024-08-21,1호선,235840,229645,465485
2024-08-21,별내선,11728,12318,24046
2024-08-21,장항선,625,559,1184
2024-08-21,경원선,107699,103584,211283
2024-08-21,신림선,31107,30757,61864
2024-08-21,서해선,13527,13130,26657
2024-08-21,진접선,12240,11663,23903
2024-08-21,별내선,9152,9158,18310
2024-08-21,김포골드라인,19758,17631,37389
2024-08-21,수인선,3221,2641,5862
2024-08-21,7호선,602476,595913,1198389
2024-08-21,분당선,138649,151756,290405
2024-08-21,일산선,59186,54885,114071
2024-08-21,중앙선,47104,45422,92526
2024-08-21,신분당선(연장),30103,28272,58375
2024-08-21,의정부선,4181,4067,8248
2024-08-21,안산선,27867,26994,54861
2024-08-21,인천2호선,17683,15869,33552
2024-08-21,7호선(인천),43653,42163,85816
2024-08-21,인천1호선,23163,22769,45932
2024-08-21,경강선,7295,7044,14339
2024-08-21,공항철도1호선,68334,61859,130193
2024-08-21,신분당선(연장2),9512,10945,20457
2024-08-21,5호선,676691,674965,1351656
2024-08-21,경인선,105459,100404,205863
2024-08-21,경의중앙선,46266,43420,89686
2024-08-21,우이신설선,26738,25943,52681
2024-08-21,9호선,297559,302204,599763
2024-08-21,9호선(연장),116426,115581,232007
2024-08-21,과천선,54433,52981,107414
2024-08-21,신분당선,38708,44086,82794
2024-08-21,수도권 광역급행철도,4847,4847,9694
2024-08-21,8호선,209635,210578,420213
2024-08-21,경춘선,15835,13980,29815
2024-08-21,에버라인선,1376,1517,2893
2024-08-20,9호선(연장),118626,118064,236690
2024-08-20,공항철도1호선,71682,63535,135217
2024-08-20,경강선,7645,7414,15059
2024-08-20,에버라인선,1456,1695,3151
2024-08-20,일산선,61339,57735,119074
2024-08-20,별내선,9706,9762,19468
2024-08-20,과천선,55425,54474,109899
2024-08-20,경춘선,17113,15007,32120
2024-08-20,신분당선(연장2),9816,11101,20917
2024-08-20,수도권 광역급행철도,4745,4745,9490
2024-08-20,6호선,342742,338960,681702
2024-08-20,경인선,108539,103453,211992
2024-08-20,신림선,31544,31875,63419
2024-08-20,경원선,111128,107096,218224
2024-08-20,우이신설선,27383,26770,54153
2024-08-20,김포골드라인,20283,18557,38840
2024-08-20,5호선,690572,687264,1377836
2024-08-20,9호선,305422,309410,614832
2024-08-20,신분당선(연장),30451,28980,59431
2024-08-20,인천2호선,17819,16362,34181
2024-08-20,진접선,13073,12496,25569
2024-08-20,수인선,3450,2881,6331
2024-08-20,4호선,523598,537331,1060929
2024-08-20,2호선,1453109,1477494,2930603
2024-08-20,분당선,141153,154710,295863
2024-08-20,1호선,244157,238000,482157
2024-08-20,8호선,213403,214625,428028
2024-08-20,경의중앙선,47142,45393,92535
2024-08-20,신분당선,39804,44734,84538
2024-08-20,7호선(인천),45507,43897,89404
2024-08-20,3호선,542412,535802,1078214
2024-08-20,중앙선,47744,46122,93866
2024-08-20,서해선,13871,13666,27537
2024-08-20,인천1호선,23541,23650,47191
2024-08-20,안산선,29222,28054,57276
2024-08-20,의정부선,4150,4123,8273
2024-08-20,7호선,616435,610775,1227210
2024-08-20,경부선,164507,163123,327630
2024-08-20,장항선,792,690,1482
2024-08-20,별내선,12216,12897,25113
2024-08-18,7호선,286249,280224,566473
2024-08-18,경부선,106704,100103,206807
2024-08-18,경원선,68440,64092,132532
2024-08-18,경인선,54113,51158,105271
2024-08-18,7호선(인천),18527,18091,36618
2024-08-18,신분당선(연장),12444,12278,24722
2024-08-18,인천2호선,9294,9867,19161
2024-08-18,중앙선,25855,24664,50519
2024-08-18,일산선,29206,28072,57278
2024-08-18,8호선,104651,108513,213164
2024-08-18,신분당선,11659,13304,24963
2024-08-18,수인선,2239,2194,4433
2024-08-18,에버라인선,908,1063,1971
2024-08-18,1호선,134197,130617,264814
2024-08-18,경의중앙선,22240,21288,43528
2024-08-18,경춘선,11515,8787,20302
2024-08-18,수도권 광역급행철도,2793,2793,5586
2024-08-18,6호선,181142,179837,360979
2024-08-18,9호선,139985,149016,289001
2024-08-18,서해선,6668,6580,13248
